Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
URBANO ALVES DOS SANTOS,URBANO ALVES DOS SANTOS,06.780.720/0002-84,796.405.156.110,AVENIDA LINDOMAR GOMES DE OLIVEIRA,SALAO 02,718,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-150,SP
UNIVERSUS M&A TRANSPORTES DE CARGAS LTDA-ME ( VERIFICAR ),VERIFICAR  *******************,16.776.798/0002-89,796158743118,RUA GUILHERME LINO DOS SANTOS,GALPÃO 3,346,JD FLOR DO CAMPO,GUARULHOS,07044-010,SP
UNIVERSAL TRANSPORTES LTDA - ME,UNIVERSAL TRANSPORTES ,01.878.096/0002-39,492.533.370.110,RUA FRANCISCO DIOGO DE ASSIS VASCONCELOS,ANEXO A,308,PIRATININGA,OSASCO,06230-010,SP
UNITEC ULTRASSONICA LTDA  ,UNITEC ULTRASONICA,33.718.738/0001-48,407.705.972.117,RUA BRUNA BOSCHINI DOS SANTOS,,33,JARDIM MARAMBAIA,JUNDIAI,13205-740,SP
UNIDOS TRANSPORTES ALAGOANOS LTDA - ME,UNIDOS TRANSPORTES ,09.433.853/0002-72,148086217115,RUA SOLDADO GENESIO VALENTIM,A,101,PARQUE NOVO MUNDO,SAO PAULO,02176-050,SP
UNICARGAS LTDA,UNICARGAS LTDA,03.183.363/0001-06,115102988110,AV DR ASSIS RIBEIRO ,,5480,JD ERMELINO MATARAZZO,SAO PAULO,03827-001,SP
UNIAO TRANSPORTES UNIRAPIDO TRANSPORTES DE CARGAS LTDA (UNIÃO BACABAL),UNIAO TRANSPORTES UNIRAPIDO TRANSPORTES DE CARGAS LTDA - ME,08.323.344/0003-05,336.903.208.116,RUA JOAO RANIERI,,94,JARDIM FATIMA,GUARULHOS,07177-120,SP
ULTRAPRESS CARGAS LTDA,ULTRAPRESS CARGAS LTDA,02.612.250/0003-70,115.462.112-111,RUA PAULO EMILIO, QUADRA 6 BOX 11 TERM. CARGAS FERNAO DIAS QD04 BOX11,201,JARDIM JULIETA,SAO PAULO,02162-040,SP
ULTRA SETE TRANSPORTES LTDA - EPP,ULTRA SETE TRANSPORTES LTDA,05.287.790/0003-13,116532391110,AVENIDA TENENTE AMARO FELICISSIMO DA SILVEIRA,,150,PARQUE NOVO MUNDO,SAO PAULO,02177-000,SP
ULTRA RAPIDO PONTES LTDA - ME,ULTRA RAPIDO PONTES  LTDA,03.922.425/0001-46,336649950110,RUA PANORAMA,,08,JD STO AFONSO,GUARULHOS,07215-150,SP
ULTILISSIMO TRANSPORTADORA LTDA,ULTILISSIMO,42.105.023/0001-00,111590199114,RUA SAMUEL LUCAS ,QD7 BOX1,1,VL SABRINA,SAO PAULO,02162-050,SP
UDILOG TRANSPORTE RODOVIARIO EIRELI,UDILOG ,08.733.805/0002-37,149.700.345.117,R SAMUEL LUCAS ,BOX 15 QD 07 TERMINAL DE CARGAS,263,JARDIM JULIETA,SAO PAULO,02162-050,SP
TWR TRANSPORTADORA LTDA,TWR TRANSPORTADORA LTDA,09.272.560/0002-50,796.274.390.115,AVENIDA JOAO BASSI,,385,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-440,SP
TW TRANSPORTES E LOGISTICA LTDA ,TW TRANSPORTES E LOGISTICA LTDA ,89.317.697/0043-91,142897107110,RUA COSTANTE PIOVAN,,1361,JD TRES MONTANHAS,OSASCO,06276-038,SP
TW TRANSPORTES E LOGISTICA LTDA,TW TRANSPORTES,89.317.697/0037-43,492.529.354.117,AVENIDA HUGO FUMAGLI,,231,CUMBICA,GUARULHOS,06276-038,SP
TVM TRANSPORTES LTDA - EPP ( TRANSMEARIM ),TVM TRANSPORTES LTDA (TRANSMEARIM),05.121.433/0002-08,336695001113,AV LINDOMAR GOMES DE OLIVEIRA ,,718,CUMBICA,GUARULHOS,07232-150,SP
TUT TRANSPORTES LTDA,TUTI TRANSPORTE,03.915.923/0011-33,113.029.323-115,RUA MARIA PRESTES MAIA ,,401,VL GUILHERME,GUARULHOS,02047-000,SP
TURISMO PRIME LTDA,EXPRESSO CARDOSO,22.801.415/0001-05,ISENTO,RUA LICANIA,,78,CIDADE PATRIARCA,SAO PAULO,03564-060,SP
TUPA EXPRESS LTDA ,TUPA EXPRESS LTDA,03.038.272/0002-50,336601665117,R: ARNEIROZ,,188,VILA NOVA CUMBICA,GUARULHOS,07220-030,SP
TSV TRANSPORTES RAPIDOS LTDA,TSV TRANSPORTES,00.634.453/0005-01,126314796114,RUA ANTONIO EGAS MONIZ,,70,JARDIM MATARAZZO,SAO PAULO,03813-040,SP
TS TRANSPORTES,TS TRANSPORTES,29.379.007/0001-48,075179121,RUA PROFESSOR FREDERICO CURIO,GALPAO 0000,337,AFOGADOS,RECIFE,50830-370,PE
TS CURSINO TRANSPORTE DE CARGA LTDA,TS TRANSPORTES,29.379.007/0002-29,796.682.043.114,RUA GONCALVES,SALA 01,200,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-060,SP
TS CARGAS E ENCOMENDAS LTDA,TS CARGAS E ENCOMENDAS LTDA,11.049.316/0003-56,127.599.855.113,RUA COLONIA LEOPOLDINA,,285,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07220-040,SP
TRN CARGO TRANSPORTE DE CARGAS LTDA,TRN CARGO TRANSPORTE DE CARGAS LTDA,35.373.852/0001-09,181.439.063.111,R PROFESSORA ERGILIA MICELLI,SALA 01,544,JARDIM REGINA,ARARAQUARA,14808-110,SP
TRM TRANSPORTE E LOGISTICA LTDA,TRM TRANSPORTE E LOGISTICA LTDA,09.181.518/0003-05,796.563.727.111,AVENIDA NOVO BRASIL,,138,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-010,SP
TRLOG TRANSPORTES LTDA,TRLOG TRANSPORTES LTDA,20.290.751/0001-05,797053778119,VIA ANHANGUERA,,0,AVELINO ALVES PALMA,RIBEIRAO PRETO,14070-730,SP
TRLOG TRANSPORTES E LOGISTICA LTDA,TRLOG TRANSPORTES E LOGISTICA LTDA,20.290.751/0005-20,128877023115,RUA SOLDADO CLAUDINO PINHEIRO,,106,PARQUE NOVO MUNDO,SAO PAULO,02147-060,SP
TRL TRANSPORTE RIO LESTE LTDA - ME,"TRL TRANSPORTE RIO LESTE LTDA - ME ""LUIZ CARLOS FERREIRA""",10.655.525/0001-19,336.574.890.115,AV PATOS,1035,1349/1035,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
TRIPOLI LOGISTICA E TRANSPORTE,.,11.372.320/0002-70,796085408116,AV:BAQUIRIVU,,319,SATELITE CUMBICA,GUARULHOS,07224-180,SP
TRES ESTRELAS JDS LTDA,TRES ESTRELAS (ENDEREÇO NA REGIAO 2),07.241.838/0003-88,165364790117,RUA DO ELETRICISTA,,110,JARDIM WERNER PLAAS,AMERICANA,13478-733,SP
TRD TRANSPORTES EIRELI,TRD TRANSPORTES EIRELI,05.215.364/0004-55,336.748.736-114,AV MOITA BONITA,235,149,JARDIM BRASIL,GUARULHOS,07270-395,SP
TRD TRANSPORTE RODOVIARIO DALFAN LTDA,TRD TRANSPORTES,03.350.624/0001-27,0290344778,RODOVIA BR-116,KM 156,25857,PLANALTO,CAXIAS DO SUL,95088-000,RS
TRB TRANSPORTES EIRELI ,TRB TRANSPORTES ,24.112.730/0002-23,796.452.952.116,AVENIDA ATALAIA DO NORTE,: CAMINHO DO CAMPO DO RINCÃO ,300,JARDIM CUMBICA,GUARULHOS,07240-120,SP
TRAZ RAPIDO TRANSPORTES SOLUCOES NA CADEIA LOGISTICA LTDA,TRAZ RAPIDO TRANSPORTES SOLUCOES NA CADEIA LOGISTICA LTDA,10.382.895/0001-20,492.416.150.117,AVENIDA JOAO BATISTA,SALA 16,466,CENTRO,OSASCO,06097-095,SP
TRAZ RAPIDO OPERADORA LOGISTICA E SERVICO,TRAZ RAPIDO OPERADORA LOGISTICA E SERVICO,09.016.527/0001-89,0010609390058,RUA SEIS,,20,RIACHO DAS PEDRAS,CONTAGEM ,32250-050,MG
TRATAMENTO EM METAIS COPLING LTDA,TMC TRAMENTO DE METAIS,15.712.406/0001-74,181176017119,AVENIDA BRANDINA SAAVEDRA CAMPANI,,345,3° DISTRITO INDUSTRIAL (VIRGILIO OM,ARARAQUARA,14806-613,SP
TRASNFOLHA TRANSPORTE E DISTIBUIÇÃO LTDA,TRASNFOLHA TRANSPORTE E DISTIBUIÇÃO LTDA,58.818.022/0001-43,206099687112,ALAMEDA XINGU,,.,ALPHAVILLE INDUSTRIAL,BARUERI,06455-030,SP
TRANSWINTER TRANSPORTE LOGISTICA LTDA,TRANSWINTER TRANSPORTE ,52.105.491/0001-39,110816120115,RUA CABO OSCAR ROSSINI,,651,PARQUE NOVO MUNDO,SAO PAULO,02186-030,SP
TRANSWAGO TRANSPORTE RODOVIARIO DE CARGA,TRANSWAGO TRANSPORTE RODOVIARIO DE CARGA,55.188.619/0001-63,ISENTO,RUA BENEDITO BERGAMASCO ,OESTE ,182,DISTRITO INDUSTRIAL,PEDERNEIRAS,17280-000,SP
TRANSVILLE TRANSPORTES E SERVIÇOS LTDA.,TRANSVILLE,82.604.042/0002-87,336.349.380.117,R. CONCRETEX,,260,CUMBICA,GUARULHOS,07232-050,SP
TRANSVILLE TRANS E SERV LTDA,TRANSVILLE TRANS E SERV LTDA,82.604.042/0004-49,251787435,RUA DOUTOR PEDRO ZIMMERMANN,,772,SALTO NORTE,BLUMENAU,89065-000,SC
TRANSVAPT LITORAL TRANSPORTES E LOGISTICALTDA - ME ,TRANSVAPT,11.188.401/0003-03,147798710115,RUA HENRIQUE FELIPE DA COSTA,,808,VILA GUILHERME,SAO PAULO,02054-050,SP
TRANSVALEN TRANSPORTES LTDA,TRANSPORTADORA VALENCIA,45.362.970/0003-37,127608809111,AV JOAO BASSI,,153,JARDIM PRESIDENTE DUTRA,GUARULHOS,07172-440,SP
"TRANSUL SERVIÇOS, LOCAÇÃO  E TRANSPORTE ","TRANSUL SERVIÇOS, LOCAÇÃO  E TRANSPORTE ",35.196.765/0011-03,336.575.380-110,RUA SERRA DO MAR,,90,CUMBICA,GUARULHOS,07223-010,SP
TRANSTITANIO TRANSPORTES RODOVIARIOS,TRANSTITANIO TRANSPORTES RODOVIARIOS,05.187.769/0002-65,ISENTO,RUA PROFESSOR JOAO CAVALEIRO SALEM,,850,PARQUE DAS NACOES,GUARULHOS,07243-580,SP
TRANSTECH TRANSPORTES E LOGISTICA S.A.,VEX LOGISTICA,03.277.663/0001-46,177322003117,TRAVESSA CARLOS GARDEL,,187,CHACARAS CALIFORNIA,ARACATUBA,16026-630,SP
TRANSTAVARES TRANSPORTES,TRANSTAVARES TRANSPORTES,18.131.868/0001-96,796.101.919.116,RUA SERRA DO MAR ,,106,JD CUMBICA,GUARULHOS,07223-010,SP
TRANSRUFINO TRANSPORTES E LOGISTICA LTDA,TRANSRUFINO TRANSPORTES E LOGISTICA LTDA,12.991.594/0001-29,336544652111,R. REMANSO,,26,VILA NOVA BOM SUCESSO,GUARULHOS,07176-160,SP
TRANSRIBEIRO,TRANSRIBEIRO,06.209.025/0001-86,ISENTO,AVENIDA JACOB JORGE ABI RACHED,,251,3° DISTRITO INDUSTRIAL (VIRGILIO OM,ARARAQUARA,14806-610,SP
TRANSREBOUCAS TRANSPORTES LTDA,REBOUCAS TRANSPORTES,17.683.119/0002-90,796.418.355.113,RUA SANTO EXPEDITO,GALPAO1,660,PARQUE INDUSTRIAL DO JARDIM SAO GER,GUARULHOS,07140-040,SP
TRANSRAVINI TRANSPORTES E LOGISTICA LTDA,VELO TRANSPORTES &amp; LOGISTICA,32.701.389/0001-99,796.847.256.110,AVENIDA PATOS,BOX   3,49,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
TRANSPRESS TRANSPORTE EXPRESSO LTDA  EPP,TRANSPRESS TRANSPORTES,22.980.155/0003-36,336.688.593.110,RUA ARTHUR FERREIRA DOS SANTOS,,280,JARDIM SANTA LIDIA,GUARULHOS,07140-003,SP
TRANSPRESS TRANSPORTE EXPRESSO LTDA,TRANSPRESS TRANSPORTE EXPRESSO LTDA,22.980.155/0002-55,ISENTO,QUADRA VINTE E UM,QUADRA21 LOTE 01 A,SN,NOVA MARABA,MARABA,68511-516,PA
TRANSPORTES VALE DO RIBEIRA LTDA,TRANSPORTES VALE DO RIBEIRA LTDA,50.638.410/0002-11,148.465.209.110,RUA DAS GUEIXAS,,258,JARDIM JAPAO,SAO PAULO,02123-030,SP
TRANSPORTES TRANSLOVATO LTDA,TRANSLOVATO,89.823.918/0002-25,336.723.088.110,RUA CONCRETEX,,430,CUMBICA,GUARULHOS,07232-050,SP
TRANSPORTES TRANSLOVATO LTDA,TRANSPORTES TRANSLOVATO LTDA,89.823.918/0001-44,0290179165,RUA HONORATO BAZEI,,225,DESVIO RIZZO,CAXIAS DO SUL,95112-140,RS
TRANSPORTES TRANSLOVATO LTDA,TRANSPORTES TRANSLOVATO LTDA,89.823.918/0013-88,209345856116,RUA JOAQUIM PELEGRINA LOPES ,,3 - 150,DIST. INDL III,BAURU,00000-000,SP
TRANSPORTES TRANSLOVATO LTDA,TRANSPORTES TRANSLOVATO LTDA,89.823.918/0006-59,253882850,"Rua Jose Junges, n 342, Arraial DOuro",,342,ARRAIAL DOURO,GASPAR,89117-086,SC
TRANSPORTES TRANSLOVATO LTDA,TRANSPORTES TRANSLOVATO LTDA,89.823.918/0014-69,255286333,AVENIDA IVO LUCCHI,,470,JARDIM ELDORADO,PALHOCA,88133-510,SC
TRANSPORTES SÃO GERALDO LTDA,TRANSPORTES SÃO GERALDO LTDA,25.284.506/0014-15,1869745060049,RUA. DR. JOSÉ AMERICO CACADO BAHIA,,2275,CIDADE INDUSTRIAL,CONTAGEM,32210-130,MG
TRANSPORTES RODOVIA SUL LTDA,RODOVIASUL LOGISTICA E MEIO AMBIENTE,90.863.325/0003-52,148686223114,RUA SOLDADO JOSE REYMAO,,105,PARQUE NOVO MUNDO,SAO PAULO,02178-040,SP
TRANSPORTES RODOR LTDA,TRANSPORTES RODOR LTDA,45.351.418/0004-24,582164336110,RUA AMERICO REIS,,636,PARQUE INDUSTRIAL TANQUINH,RIBEIRÃO PRETO,14075-620,SP
TRANSPORTES RODOEXPRESS ,TRANSPORTES RODOEXPRESS ,12.360.920/0001-08,147383315110,RUA PAULO EMILIO,BOX 9/10 QUADRA 4,S/N,VILA SABRINA,SÃO PAULO,02162-240,SP
